time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.0;videos/cuts_test/50wtf9.mp4;walk;(477.5, 133.88);(482.0, 128.12);(475.0, 124.31);(470.0, 128.0);(454.0, 116.0);(457.25, 166.25);(424.75, 144.38);(488.0, 194.62);(405.0, 115.31);(526.5, 210.62);(418.5, 81.69);(411.75, 263.0);(403.0, 259.5);(409.0, 351.75);(435.5, 348.5);(380.25, 437.25);(439.5, 441.0)
0.04;videos/cuts_test/50wtf9.mp4;walk;(479.0, 135.62);(483.25, 129.88);(476.5, 125.88);(471.5, 129.25);(456.0, 117.25);(460.0, 168.5);(425.75, 143.5);(493.0, 200.5);(404.75, 107.31);(529.0, 219.75);(414.25, 68.06);(411.25, 263.75);(401.5, 258.75);(408.0, 353.5);(433.5, 348.75);(379.25, 437.75);(439.75, 441.0)
0.08;videos/cuts_test/50wtf9.mp4;walk;(480.75, 136.88);(485.25, 131.25);(478.25, 126.69);(474.75, 131.0);(458.0, 117.5);(462.25, 171.12);(426.5, 141.75);(493.25, 205.0);(406.25, 96.81);(528.0, 225.5);(413.0, 52.25);(412.0, 264.5);(400.75, 258.5);(408.0, 353.5);(432.5, 348.5);(379.5, 437.75);(439.75, 441.0)
0.13;videos/cuts_test/50wtf9.mp4;walk;(482.5, 138.5);(487.5, 132.75);(480.25, 128.0);(476.75, 132.25);(460.25, 117.88);(462.75, 173.12);(427.25, 139.62);(492.5, 209.5);(407.5, 88.69);(531.5, 232.88);(412.5, 39.25);(412.5, 265.5);(400.0, 258.5);(407.5, 354.0);(430.75, 349.0);(379.5, 438.25);(439.75, 441.5)
0.17;videos/cuts_test/50wtf9.mp4;walk;(485.0, 140.0);(489.75, 134.12);(483.0, 129.5);(478.0, 133.0);(463.0, 118.56);(464.0, 174.62);(428.5, 138.25);(494.25, 213.5);(409.0, 82.69);(534.5, 239.25);(413.75, 31.25);(411.75, 265.0);(399.25, 257.5);(407.0, 354.5);(429.75, 349.75);(379.75, 438.5);(439.0, 442.25)
0.21;videos/cuts_test/50wtf9.mp4;walk;(487.0, 141.0);(491.5, 134.75);(484.5, 130.25);(479.5, 133.5);(465.5, 119.12);(465.0, 175.62);(430.0, 136.62);(495.0, 216.88);(411.75, 75.06);(536.0, 243.5);(417.75, 25.0);(412.0, 265.5);(398.0, 257.5);(407.0, 354.5);(428.25, 350.0);(379.25, 438.75);(438.5, 442.5)
0.25;videos/cuts_test/50wtf9.mp4;walk;(488.75, 142.12);(493.5, 136.0);(486.75, 131.5);(480.5, 134.5);(467.25, 119.69);(465.0, 175.75);(432.0, 136.38);(494.0, 217.5);(414.25, 74.06);(534.0, 245.5);(421.0, 22.0);(410.25, 265.0);(397.5, 256.5);(406.5, 354.75);(427.5, 349.75);(379.25, 439.0);(437.75, 442.25)
0.29;videos/cuts_test/50wtf9.mp4;walk;(489.75, 142.62);(494.5, 137.0);(488.0, 132.0);(481.5, 135.5);(469.25, 119.75);(465.0, 176.25);(434.25, 136.0);(494.5, 218.25);(417.25, 72.69);(534.5, 246.5);(426.25, 23.0);(408.25, 265.0);(399.0, 256.25);(405.75, 355.25);(427.25, 350.25);(379.25, 439.25);(437.75, 442.75)
0.33;videos/cuts_test/50wtf9.mp4;walk;(491.0, 142.38);(495.75, 136.75);(489.5, 131.62);(481.5, 135.38);(470.5, 119.5);(465.75, 175.88);(435.5, 136.62);(496.25, 218.25);(420.0, 73.06);(536.0, 244.75);(430.25, 23.5);(409.5, 265.5);(400.25, 257.25);(405.75, 355.0);(427.5, 350.5);(379.25, 439.0);(437.5, 443.0)
0.38;videos/cuts_test/50wtf9.mp4;walk;(492.25, 141.75);(496.75, 136.0);(490.5, 131.12);(482.25, 134.25);(471.25, 119.12);(467.5, 174.38);(436.75, 137.25);(497.0, 214.12);(421.25, 74.69);(536.0, 239.5);(432.5, 24.75);(412.0, 266.0);(402.0, 258.0);(406.5, 356.0);(429.0, 350.75);(379.25, 439.25);(437.75, 442.5)
0.42;videos/cuts_test/50wtf9.mp4;walk;(493.0, 140.88);(497.5, 134.88);(491.5, 130.5);(483.25, 133.0);(472.25, 119.38);(469.75, 172.75);(438.0, 138.62);(498.5, 208.88);(421.25, 81.19);(533.0, 230.62);(430.5, 30.75);(413.75, 265.0);(402.75, 257.5);(407.5, 355.0);(429.5, 349.75);(379.0, 438.5);(437.75, 442.0)
0.46;videos/cuts_test/50wtf9.mp4;walk;(494.0, 139.75);(498.0, 133.5);(491.75, 129.62);(483.75, 131.75);(472.25, 119.94);(470.5, 170.75);(439.5, 141.62);(497.75, 202.0);(423.0, 92.19);(532.5, 220.0);(430.25, 42.75);(415.5, 265.0);(405.0, 258.25);(407.75, 354.5);(430.75, 349.5);(379.0, 438.0);(438.0, 441.5)
0.5;videos/cuts_test/50wtf9.mp4;walk;(494.5, 139.0);(498.5, 133.0);(492.25, 129.25);(484.0, 131.38);(472.75, 120.38);(472.0, 169.62);(440.5, 143.5);(499.25, 196.62);(423.75, 103.56);(536.5, 212.12);(435.0, 58.75);(417.0, 265.0);(406.0, 258.75);(407.75, 353.5);(431.5, 349.25);(379.5, 436.75);(437.5, 440.5)
0.54;videos/cuts_test/50wtf9.mp4;walk;(495.0, 138.75);(499.0, 132.75);(492.75, 129.0);(485.0, 130.88);(473.5, 120.25);(473.25, 168.62);(442.25, 145.0);(503.0, 193.0);(424.0, 111.94);(541.0, 202.88);(435.75, 75.19);(415.5, 264.5);(406.75, 258.75);(407.75, 353.0);(432.75, 349.25);(379.5, 436.5);(438.0, 440.5)
0.58;videos/cuts_test/50wtf9.mp4;walk;(495.75, 138.25);(499.75, 132.25);(493.75, 128.38);(485.5, 130.88);(473.5, 119.81);(472.75, 167.88);(443.25, 147.0);(502.0, 187.62);(423.75, 115.94);(542.0, 193.25);(443.25, 84.69);(415.5, 264.5);(408.25, 259.75);(409.0, 352.25);(433.75, 349.5);(380.5, 435.75);(438.25, 440.5)
0.63;videos/cuts_test/50wtf9.mp4;walk;(496.0, 138.5);(500.5, 132.5);(494.25, 128.62);(484.75, 130.12);(474.0, 120.12);(474.25, 168.25);(444.25, 147.12);(504.0, 188.0);(425.5, 117.75);(545.0, 191.75);(445.0, 89.25);(417.0, 264.75);(409.0, 260.0);(408.0, 353.0);(433.5, 350.0);(379.5, 436.25);(438.0, 439.75)
0.67;videos/cuts_test/50wtf9.mp4;walk;(498.25, 139.38);(502.5, 133.5);(496.0, 129.5);(489.5, 132.38);(475.5, 120.94);(476.0, 169.75);(444.5, 146.38);(508.0, 190.25);(424.75, 114.81);(550.0, 195.12);(449.0, 85.31);(416.25, 264.0);(408.0, 259.0);(409.75, 351.75);(433.75, 349.5);(380.5, 435.25);(438.25, 441.0)
