time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.0;videos/cuts_train/fall01.mp4;walk;(625.0, 212.0);(631.5, 205.5);(619.5, 206.5);(646.0, 208.5);(615.0, 211.5);(669.5, 249.5);(606.5, 253.75);(689.0, 299.5);(592.0, 304.25);(692.0, 350.5);(583.0, 349.0);(657.0, 354.5);(614.5, 354.75);(669.0, 427.75);(612.5, 426.5);(668.5, 489.25);(618.5, 490.75)
0.03;videos/cuts_train/fall01.mp4;walk;(624.0, 212.5);(631.0, 205.5);(618.5, 206.75);(645.5, 209.0);(613.5, 211.5);(668.5, 249.25);(606.0, 254.0);(689.0, 299.25);(591.0, 305.0);(691.0, 350.5);(581.5, 350.0);(656.5, 354.75);(614.0, 355.25);(669.0, 427.5);(612.0, 426.75);(670.0, 490.0);(618.0, 490.5)
0.07;videos/cuts_train/fall01.mp4;walk;(623.0, 213.0);(629.5, 205.88);(617.0, 207.25);(644.5, 209.0);(611.5, 212.0);(667.0, 249.0);(604.5, 254.0);(687.5, 298.75);(590.0, 305.0);(690.5, 349.5);(580.5, 351.0);(656.0, 355.0);(613.0, 355.5);(668.0, 428.0);(611.0, 427.0);(671.0, 490.75);(617.0, 491.0)
0.1;videos/cuts_train/fall01.mp4;walk;(621.5, 212.75);(628.0, 205.75);(615.5, 207.0);(642.5, 208.25);(610.5, 211.75);(666.0, 248.38);(602.5, 253.5);(686.5, 298.5);(588.5, 305.0);(689.5, 349.25);(580.5, 351.25);(655.0, 354.5);(612.0, 355.25);(668.0, 427.5);(611.0, 426.75);(673.5, 491.0);(617.0, 491.0)
0.13;videos/cuts_train/fall01.mp4;walk;(620.5, 212.5);(627.0, 205.5);(615.0, 206.75);(641.5, 208.25);(609.5, 211.5);(665.5, 248.62);(602.0, 253.5);(685.0, 299.0);(588.0, 304.75);(688.5, 348.25);(578.5, 350.5);(654.0, 354.5);(611.0, 355.0);(668.0, 428.0);(610.5, 426.75);(674.0, 492.25);(616.0, 491.5)
0.17;videos/cuts_train/fall01.mp4;walk;(619.5, 212.5);(626.0, 205.5);(613.5, 206.62);(639.0, 208.5);(608.0, 211.12);(664.0, 248.75);(600.5, 253.25);(684.5, 299.0);(588.0, 304.5);(688.0, 348.25);(576.5, 350.0);(654.0, 354.75);(610.5, 355.25);(668.0, 428.25);(610.0, 427.0);(675.0, 493.0);(616.5, 491.5)
0.2;videos/cuts_train/fall01.mp4;walk;(618.5, 212.0);(625.0, 205.25);(613.0, 206.25);(637.0, 208.0);(606.5, 210.62);(663.0, 248.88);(598.5, 253.25);(683.0, 299.5);(586.0, 304.25);(686.5, 347.75);(573.5, 349.5);(653.5, 355.0);(610.0, 355.75);(667.5, 428.25);(609.5, 427.0);(674.0, 492.5);(616.0, 491.5)
0.23;videos/cuts_train/fall01.mp4;walk;(618.0, 212.25);(624.0, 205.38);(612.0, 206.62);(636.0, 208.25);(605.5, 210.75);(662.0, 249.38);(597.5, 253.5);(681.0, 301.25);(584.0, 304.5);(685.5, 347.25);(571.0, 349.25);(653.0, 355.25);(610.0, 356.0);(665.5, 427.25);(610.5, 426.75);(673.0, 493.0);(616.0, 491.25)
0.27;videos/cuts_train/fall01.mp4;walk;(617.0, 212.25);(623.0, 205.25);(611.0, 206.5);(635.0, 208.0);(604.5, 211.0);(661.0, 250.12);(595.5, 254.0);(679.5, 301.75);(582.5, 305.0);(685.0, 346.25);(569.0, 350.5);(653.0, 355.75);(609.5, 356.5);(665.5, 428.0);(611.0, 427.5);(673.0, 493.75);(615.5, 492.25)
0.3;videos/cuts_train/fall01.mp4;walk;(616.5, 212.5);(622.5, 205.5);(610.0, 207.0);(634.0, 208.25);(603.0, 211.62);(660.0, 250.25);(593.5, 254.38);(678.0, 302.5);(580.0, 305.75);(684.0, 347.25);(567.5, 352.25);(653.0, 355.5);(609.5, 356.5);(664.5, 427.75);(611.5, 427.0);(672.5, 495.0);(615.5, 492.75)
0.33;videos/cuts_train/fall01.mp4;walk;(615.5, 212.88);(621.0, 205.75);(609.0, 207.5);(633.0, 207.75);(602.5, 211.88);(659.5, 250.25);(593.0, 254.75);(676.0, 301.0);(578.5, 305.75);(683.0, 345.75);(566.0, 351.25);(653.0, 355.25);(609.5, 356.5);(663.0, 426.5);(612.0, 425.75);(665.5, 493.0);(617.0, 491.0)
0.37;videos/cuts_train/fall01.mp4;walk;(615.0, 213.0);(620.5, 205.5);(608.0, 207.5);(632.5, 207.5);(602.0, 212.12);(659.5, 249.88);(592.5, 254.5);(676.0, 300.5);(576.0, 305.25);(683.0, 345.75);(563.5, 352.5);(653.0, 355.0);(609.0, 356.25);(660.5, 426.0);(612.0, 425.0);(660.5, 493.5);(617.5, 490.0)
0.4;videos/cuts_train/fall01.mp4;walk;(615.0, 213.0);(620.5, 205.5);(608.0, 207.5);(632.5, 207.5);(601.5, 212.12);(659.0, 249.75);(592.5, 254.5);(676.0, 300.5);(574.5, 305.75);(682.5, 345.75);(560.5, 354.0);(652.5, 355.25);(609.0, 356.5);(659.0, 426.0);(612.0, 425.5);(659.0, 492.5);(616.0, 490.5)
0.43;videos/cuts_train/fall01.mp4;walk;(615.0, 213.0);(621.0, 205.5);(608.0, 207.5);(632.5, 207.5);(601.0, 212.25);(659.5, 249.88);(592.0, 254.62);(675.5, 301.0);(573.5, 305.5);(682.0, 345.5);(558.5, 354.0);(653.0, 355.25);(609.0, 356.5);(659.0, 426.0);(612.0, 425.5);(656.0, 491.5);(616.5, 490.5)
